actualconduitsize,16,16
actualconduitsize,20,20
actualconduitsize,25,25
actualconduitsize,32,32
actualconduitsize,40,40
actualconduitsize,50,50
actualconduitsize,63,63
actualconduitsize,80,80
actualconduitsize,90,90
actualconduitsize,100,100
actualconduitsize,110,110
actualconduitsize,120,120
actualconduitsize,150,150
actualconduittype,A,Asbestos
actualconduittype,BI,Black Iron
actualconduittype,C,Concrete
actualconduittype,CI,Cast Iron
actualconduittype,E,Earthenware
actualconduittype,GI,Galvanised Iron
actualconduittype,G,Garnite
actualconduittype,P,Plastic
actualconduittype,X,Other
aerialroutescopestate,127,Not Required
aerialroutescopestate,126,Not Required - Lead In
aerialroutescopestate,0,Not Inspected
aerialroutescopestate,1,Required and Fit for NBN Aerial Cables
allocatesubduct,127,Not determined
allocatesubduct,0,Not subducted
allocatesubduct,1,1
allocatesubduct,2,2
allocatesubduct,3,3
allocatesubduct,4,4
allocatesubduct,5,5
allocatesubduct,6,6
allocatesubduct,7,7
allocatesubduct,8,8
allocatesubduct,9,9
allocatesubduct,10,10
allocatesubduct,11,11
allocatesubduct,12,12
allocatesubduct,13,13
allocatesubduct,14,14
allocatesubduct,15,15
allocatesubduct,16,16
allocatesubduct,17,17
allocatesubduct,18,18
allocatesubduct,19,19
allocatesubduct,20,20
az,A,A
az,B,B
az,C,C
az,D,D
az,E,E
az,F,F
az,G,G
az,H,H
az,I,I
az,J,J
az,K,K
az,L,L
az,M,M
az,N,N
az,O,O
az,P,P
az,Q,Q
az,R,R
az,S,S
az,T,T
az,U,U
az,V,V
az,W,W
az,X,X
az,Y,Y
az,Z,Z
blocksurfacefir,127,Not determined
blocksurfacefir,0,No Blockage
blocksurfacefir,1,Grass
blocksurfacefir,2,Paver
blocksurfacefir,3,Gravel
blocksurfacefir,4,Bitumen roadway
blocksurfacefir,5,Bitumen footpath
blocksurfacefir,6,Concrete footpath
blocksurfacefir,7,concrete driveway
blocksurfacefir,8,Other (comment mandatory)
buildcondition,127,Not determined
buildcondition,1,Rock
buildcondition,2,OTR
buildcondition,3,Excavation & reinstatement by others
buildlocation,127,Not determined
buildlocation,1,New Location
buildlocation,2,Over Existing Infrastructure
cableplacementtype,127,Not determined
cableplacementtype,1,Underground
cableplacementtype,2,Aerial
cabletype,127,Not determined
cabletype,0,ADSS
cabletype,1,Figure 8
cabletype,2,Tether
cablevariant,127,Not determined
cablevariant,1,TSS_ CORNING_48_HD 
cablevariant,2,TSS_CORNING_72_FIG8 
cablevariant,3,TSS_CORNING_72_HD 
cablevariant,4,TSS_CORNING_144_FIG8 
cablevariant,5,TSS_ CORNING_144_HD 
cablevariant,6,TSS_CORNING_144_NJ 
cablevariant,7,TSS_CORNING_216_NJ 
cablevariant,8,TSS_CORNING_288_RIBBON 
cablevariant,9,TSS_CORNING_432_RIBBON 
cablevariant,10,TSS_CORNING_576_RIBBON 
cablevariant,11,TSS_ PRYS_144_HD 
cablevariant,12,TSS_ PRYS_144_RR_HD 
cablevariant,13,TSS_CORNING_12NJ
cablevariant,14,TSS_PRYS_288_RIBBON
cablevariant,15,TSS_PRYS_288_RIBBON_RR
cablevariant,16,TSS_PRYS_432_RIBBON
cablevariant,17,TSS_PRYS_432_RIBBON_RR
cablevariant,18,TSS_PRYS_48_HD
cablevariant,19,TSS_PRYS_48_RR_HD
cablevariant,20,TSS_PRYS_576_RIBBON
cablevariant,21,TSS_PRYS_576_RIBBON_RR
cablevariant,22,TSS_PRYS_72_HD
cablevariant,23,TSS_PRYS_72_RR_HD
cablevariant,24,TSS_PRYS_864_RIBBON
cablevariant,25,TSS_PRYS_864_RIBBON_RR
cablevariant,26,TSS_CORNING_72_NJ
conduitowner,127,Not determined
conduitowner,0,Telstra
conduitowner,1,NBN
conduitowner,2,Other (comment mandatory)
constructionmethod,127,Not determined
constructionmethod,0,Directional Bore in Rock
constructionmethod,1,Directional Bore in OTR
constructionmethod,2,NBN Trench in Rock
constructionmethod,3,NBN Trench in OTR
constructionmethod,4,Third Party Trench
corridortype,127,Not determined
corridortype,0,Power Corridor
corridortype,1,Communications corridor
ductfirstandardcomments,127,Non standard comment recorded in next field
ductfirstandardcomments,1,Duct OK
ductfirstandardcomments,2,Duct damaged
ductfirstandardcomments,3,Duct blocked
ductfirstandardcomments,4,"Duct congested, insufficient capacity"
ductfirstandardcomments,5,Does not exist
ductfirstandardcomments,6,Trench
ductfirstandardcomments,7,Bore
ductfirstandardcomments,8,Grundie
ductfirstandardcomments,9,Duct not located
ductfirstandardcomments,10,Use alternative duct
ductfirstandardcomments,11,Augmentation required
fibrecount,127,Not determined
fibrecount,1,1F
fibrecount,12,12F
fibrecount,72,72F
fibrecount,144,144F
fibrecount,288,288F
fibrecount,312,312F
fibrecount,432,432F
fibrecount,576,576F
fibrecount,864,864F
fibrenodetype,127,Not determined
fibrenodetype,0,DCM
fibrenodetype,1,ODF
fibrenodetype,2,TJL
fibrenodetype,3,DJL
fibrenodetype,4,LJL
fibrenodetype,5,AJL
fibrenodetype,6,MPT
fibrenodetype,7,NAP
fibrenodetype,8,ADC
fibrenodevariant,127,Not determined
fibrenodevariant,1,CORNING_MPT_4PORT
fibrenodevariant,2,CORNING_MPT_4PORT_3M
fibrenodevariant,3,CORNING_MPT_6PORT
fibrenodevariant,4,CORNING_MPT_8PORT
fibrenodevariant,5,CORNING_MPT_8PORT_3M
fibrenodevariant,6,CORNING_MPT_12PORT
fibrenodevariant,7,CORNING_MPT_12PORT_3M
fibrenodevariant,8,CORNING_MPT_B4PORT
fibrenodevariant,9,CORNING_MPT_S4PORT
fibrenodevariant,10,CORNING_MPT_S6PORT
fibrenodevariant,11,TYCO_MPT_4PORT
fibrenodevariant,12,TYCO_MPT_8PORT
fibrenodevariant,13,TYCO_MPT_12PORT
fibrenodevariant,14,ADC_MST
fibrenodevariant,15,ADC_RCD
fibrenodevariant,16,CORNING_12NAP
fibrenodevariant,17,CORNING_24NAP
fibrenodevariant,18,CORNING_288-ORS-MB
fibrenodevariant,19,CORNING_ST_12SLOT
fibrenodevariant,20,CORNING_ST_48SLOT
fibrenodevariant,21,CORNING_ZT_12SLOT
fibrenodevariant,22,CORNING_ZT_24SLOT
fibrenodevariant,23,CORNING_ZT_36SLOT
fibrenodevariant,24,CORNING_ZT_48SLOT
fibrenodevariant,25,CORNING_ZT_60SLOT
fibrenodevariant,26,CORNING_ZT_72SLOT
fibrenodevariant,27,CORNING_ZT_84SLOT
fibrenodevariant,28,CORNING_ZT_96SLOT
fibrenodevariant,29,CORNING_ZT_144SLOT
fibrenodevariant,30,L_CORNING_864-ORS-HB
fibrenodevariant,31,L_TYCO_FIST-GCO2-BC-R12
fibrenodevariant,32,L_TYCO_FIST-GCO2-BD-R12
fibrenodevariant,33,L_TYCO_FIST-GCO2-BE-R12
fibrenodevariant,34,D_CORNING_864-ORS-HB
fibrenodevariant,35,D_TYCO_432-HB
fibrenodevariant,36,D_TYCO_576-HB
fibrenodevariant,37,D_TYCO_FIST-GCO2-BC-R12
fibrenodevariant,38,D_TYCO_FIST-GCO2-BD-R12
fibrenodevariant,39,D_TYCO_FIST-GCO2-BE-R12
fibrenodevariant,40,T_CORNING_864-ORS-HB
fibrenodevariant,41,T_TYCO_144-HB
fibrenodevariant,42,T_TYCO_432-HB
fibrenodevariant,43,T_TYCO_576-HB
fibrenodevariant,44,T_TYCO_FIST-GCO2-BC-R12
fibrenodevariant,45,T_TYCO_FIST-GCO2-BD-R12
fibrenodevariant,46,T_TYCO_FIST-GCO2-BE-R12
fibrenodevariant,47,Corning 432 FDH
fibrenodevariant,48,Corning 576 FDH
fibrenodevariant,49,Corning 864 FDH
fibrenodevariant,50,FDH Gen3e
fibrenodevariant,51,FDH
jointype,127,Not determined
jointype,1,Ribbon Simplex
jointype,2,Loose Tube Simplex
jointype,3,Ribbon Complex
jointype,4,Loose Tube Complex
loadsource,127,Not determined
newconduitsize,50,50
newconduitsize,100,100
newpitscopestate,0,Specification Incomplete
newpitscopestate,1,Specification Complete
newpitsize,10,P1 Plastic 508L x 218W x 400D mm?
newpitsize,20,P2 Plastic 655L x 290W x 575D mm?
newpitsize,30,P3 Plastic 780L x 355W x 635D mm?
newpitsize,40,P4 Plastic 700L x 390W x 820D mm?
newpitsize,50,P5 Plastic 710L x 455W x 635D mm?
newpitsize,60,P6 Plastic 1370L x 550W x 680D mm?
newpitsize,80,P8 Plastic 1380L x 565W x 890D mm?
newpitsize,90,P9 Plastic 2040L x 550W x 900D mm?
newpitsize,104,PF4 Manhole or equivalent 2600L x 1245W x 1490D mm?
newpitsize,112,PF12 MHole or equivalent  2900L x 1380W x 1750D mm?
newugroutescopestate,127,Not Required
newugroutescopestate,0,Specification Incomplete
newugroutescopestate,1,Specification Complete
oldconduitscopestate,127,Not Required - Other
oldconduitscopestate,126,Not Required - Lead In
oldconduitscopestate,0,Not Inspected
oldconduitscopestate,2,Not Req. - Alt. Duct selected - Design Altered
oldconduitscopestate,3,Remediation Required - please fill in FR fields
oldconduitscopestate,6,Not Located
oldconduitscopestate,4,Visual Inspection OK - Duct Ready for Rod and Rope
oldconduitscopestate,5,Fit - R&R Complete
oldpitscopestate,127,Not Required
oldpitscopestate,0,Not Inspected
oldpitscopestate,5,Upgrade pit to P5
oldpitscopestate,6,Upgrade pit to P6
oldpitscopestate,8,Upgrade pit to P8
oldpitscopestate,9,Upgrade pit to P9
oldpitscopestate,10,Replace like-for-like
oldpitscopestate,11,Replace lids
oldpitscopestate,12,Raise Pit - Buried
oldpitscopestate,13,Raise Pit - Other
oldpitscopestate,14,Lower pit
oldpitscopestate,15,Replace collar
oldpitscopestate,16,Raise pit and replace lids
oldpitscopestate,17,Lower pit and replace lids
oldpitscopestate,18,Replace collar & replace lids
oldpitscopestate,19,Raise pit and replace collar
oldpitscopestate,20,Lower pit and replace collar
oldpitscopestate,21,Other - Remediate OHS Risk (Comment required)
oldpitscopestate,22,Other - Permanently flooded
oldpitscopestate,23,Other - Remove Debris
oldpitscopestate,24,Other - Unable to Locate
oldpitscopestate,25,Other - Unable to withstand traffic
oldpitscopestate,26,Other (comment mandatory)
oldpitscopestate,27,Oth - AD - Located Not Accessible - Priv. Property
oldpitscopestate,28,Other - AD - Located Not Accessible - Driveway
oldpitscopestate,29,"Oth - AD - Cannot haul, Alt. chosen. Pls Comment."
oldpitscopestate,30,"Other - AD - VSL not near, Alt. pit to hold joint."
oldpitscopestate,31,Fit - Buried no need to raise pit
oldpitscopestate,32,Fit - Not Buried
pitclean,0,Not Inspected
pitclean,1,Inspected - Does not need clean
pitclean,2,Inspected - Needs Clean
pitclean,3,Pit Cleaned
pitfirstandardcomments,127,Non standard comment recorded in next field
pitfirstandardcomments,1,Pit OK
pitfirstandardcomments,2,Pit damaged
pitfirstandardcomments,3,Space for TJL
pitfirstandardcomments,4,No space for TJL
pitfirstandardcomments,5,Lid damaged
pitfirstandardcomments,6,Lid missing
pitfirstandardcomments,7,Pit not located
pitfirstandardcomments,8,Pit congested
pitfirstandardcomments,10,Upgrade to 5 pit
pitfirstandardcomments,11,Upgrade to 6 pit
pitfirstandardcomments,12,Upgrade to 8 pit
pitfirstandardcomments,13,Upgrade to 9 pit
pitfirstandardcomments,14,Does not exist
pitfirstandardcomments,15,Blocked by roots
pitfirstandardcomments,16,Blocked by rubble
pitfirstandardcomments,17,Crossbar missing/damaged
pitfirstandardcomments,18,Flooded
pitfirstandardcomments,19,Damaged
pitfirstandardcomments,20,Steel lid required
pitname,127,Not determined
pitname,53,J5
pitname,52,H5
pitname,51,P5
pitname,23,J2
pitname,22,H2
pitname,21,P2
pitname,20,2
pitname,33,J3
pitname,32,H3
pitname,31,P3
pitname,30,3
pitname,43,J4
pitname,42,H4
pitname,41,P4
pitname,40,4
pitname,60,6
pitname,64,C6
pitname,161,MH - Footway
pitname,162,MH - Roadway
pitname,120,C
pitname,110,B
pitname,13,J1
pitname,12,H1
pitname,11,P1
pitname,10,1
pitname,83,J8
pitname,82,H8
pitname,81,P8
pitname,80,8
pitname,84,C8
pitname,130,D
pitname,70,7
pitname,100,A
pitname,93,J9
pitname,92,H9
pitname,91,P9
pitname,94,C9
pitname,0,0
pitname,170,X - Other
pitname,131,Vic D
pitpump,0,Not Inspected
pitpump,1,Inspected - Does not need pump out
pitpump,2,Inspected - Needs pump out
pitpump,3,Pit Pumped Out
poleowner,127,Not determined
poleOwner,1,"Not in list, please record owner in field below."
poleOwner,2,Western Power
poleOwner,3,Horizon Power
poleOwner,4,Aurora Energy
poleOwner,5,Ausgrid
poleOwner,6,Endeavour Energy
poleOwner,7,Energex
poleOwner,8,Ergon Energy
poleOwner,9,Essential Energy
poleOwner,10,Jemena
poleOwner,11,Powercor Australia
poleOwner,12,SA Power Networks
poleOwner,13,Telstra
poleOwner,14,Optus
poleOwner,15,Private Pole
polescopestate,127,Not Required
polescopestate,0,Not Inspected
polescopestate,1,Inspection Complete
polemat,127,Not determined
polemat,0,Timber
polemat,1,Concrete
polemat,2,Steel
polemat,3,Stobie
polemat,4,Other (Please Comment)
sheathtype,127,Not determined
sheathtype,0,PDS
sheathtype,1,SDS
sheathtype,2,MSS
sheathtype,3,LSS
sheathtype,4,HSL
sheathtype,5,HSD
sheathtype,6,DSS
sheathtype,7,TSS
standardmandrels,0,Mandrel Not Yet Hauled
standardmandrels,10,10 mm approx Rod Diameter
standardmandrels,12,12 mm
standardmandrels,18,18 mm
standardmandrels,22,22 mm
standardmandrels,28,28 mm
standardmandrels,32,32 mm
standardmandrels,36,36 mm
standardmandrels,40,40 mm
standardmandrels,48,48 mm
standardmandrels,60,60 mm
standardmandrels,80,80 mm
standardmandrels,120,120 mm
subduct,0,Not subduct
subduct,1,1
subduct,2,2
subduct,3,3
subduct,4,4
subduct,5,5
subduct,6,6
subduct,7,7
subduct,8,8
subduct,9,9
subduct,10,10
subduct,11,11
subduct,12,12
subduct,13,13
subduct,14,14
subduct,15,15
subduct,16,16
subduct,17,17
subduct,18,18
subduct,19,19
subduct,20,20
yesno,N,No
yesno,Y,Yes
loadsource,1,NDDv1
loadsource,2,NDDv2
loadsource,3,NDDv3
loadsource,80,Scope
loadsource,90,Test
bori,0,0.0 m?
bori,2,0.2 m?
bori,4,0.4 m?
bori,6,0.6 m?
bori,8,0.8 m?
bori,10,1.0 m?
bori,12,1.2 m?
bori,14,1.4 m?
bori,16,1.6 m?
bori,18,1.8 m?
bori,20,2.0 m?
bori,22,2.2 m?
bori,24,2.4 m?
bori,26,2.6 m?
bori,28,2.8 m?
bori,30,3.0 m?
bori,32,3.2 m?
bori,34,3.4 m?
bori,36,3.6 m?
bori,38,3.8 m?
bori,40,4.0 m?
bori,42,4.2 m?
bori,44,4.4 m?
bori,46,4.6 m?
bori,48,4.8 m?
bori,50,5.0 m?
bori,52,5.2 m?
bori,54,5.4 m?
bori,56,5.6 m?
bori,58,5.8 m?
bori,60,6.0 m?
bori,62,6.2 m?
bori,64,6.4 m?
bori,66,6.6 m?
bori,68,6.8 m?
bori,70,7.0 m?
bori,72,7.2 m?
bori,74,7.4 m?
bori,76,7.6 m?
bori,78,7.8 m?
bori,80,8.0 m?
bori,82,8.2 m?
bori,84,8.4 m?
bori,86,8.6 m?
bori,88,8.8 m?
bori,90,9.0 m?
bori,92,9.2 m?
bori,94,9.4 m?
bori,96,9.6 m?
bori,98,9.8 m?
bori,100,10.0 m?
transitPitMaxCap,127,Not determined
transitPitMaxCap,254,Pit/MH Effectively Empty
transitPitMaxCap,3,3x TJL
transitPitMaxCap,2,2x TJL
transitPitMaxCap,1,1x TJL
transitPitMaxCap,253,Space for other combination.  Comment & Photo Req.
transitPitMaxCap,0,No Space Available
corebore,0,0
corebore,1,1
corebore,2,2
corebore,3,3
corebore,4,4
corebore,5,5
corebore,6,6
corebore,7,7
corebore,8,8
corebore,9,9
corebore,10,10
corebore,11,11
corebore,12,12
corebore,13,13
corebore,14,14
corebore,15,15
corebore,16,16
corebore,17,17
corebore,18,18
corebore,19,19
corebore,20,20
validSOR,127,Non standard provisional sum recorded in next field
validSOR,09-01-01-01,Labourer
validSOR,09-01-01-02,Labourer overtime Ð out of hours rate
validSOR,09-01-01-03,Plant Operator
validSOR,09-01-01-04,Plant Operator overtime Ð out of hours rate
validSOR,09-01-01-05,Telecommunications Technician fully equipped including vehicle
validSOR,09-01-01-06,Extra over for Telecommunications Technician fully equipped overtime including vehicle Ð out of hours rate
validSOR,09-01-01-07,Advanced Telecommunications Technician fully equipped including vehicle
validSOR,09-01-01-08,Advanced Telecommunications Technician fully equipped overtime including vehicle Ð out of hours rate
validSOR,09-01-02-01,Provision of float charges for the movement of large plant and equipment between work sites
validSOR,09-01-03-01,EWP truck mounted up to 12m with operator
validSOR,09-01-04-01,Bobcat with 4-in-1 bucket
validSOR,09-01-05-01,"Backhoe, JCB3CX or equivalent"
validSOR,09-01-06-01,Excavators up to 10 tonnes
validSOR,09-01-06-02,Excavators 10 to 15 tonnes
validSOR,09-01-06-03,Excavators up to 10 tonnes fitted with rock breaker
validSOR,09-01-07-01,Single-axle tipper truck 5 tonne load
validSOR,09-01-07-02,Double-axle tipper truck 9 tonne load
validSOR,09-01-08-01,Dozer (306 - 400 kw)
validSOR,10-01-01-01,Local Authority Charges
validSOR,10-01-01-02,Telecommunication Utility Charges
validSOR,10-01-01-03,Power Make Ready Construction Activities Design
validSOR,10-01-01-04,Power Make Ready Construction Activities Construction
validSOR,10-01-01-05,Toxic Waste Material Removal
validSOR,10-01-01-06,Traffic Control Works
validSOR,10-01-01-07,Exceptional Environmental and Heritage assessments / studies or approvals
validSOR,10-01-01-08,Geotechnical Investigations or Testing
validSOR,10-01-01-09,Registered Surveyor Works
validSOR,10-01-01-10,Other Third Party Mandatory Requirements
validSOR,09-01-01-09,Electrical Linesworker fully equipped including vehicle
validSOR,09-01-01-10,Electrical Linesworker fully equipped overtime including vehicle Ð out of hours rate
validSOR,09-01-01-11,Level 3 Accredited Electrical Designer - Office Based
validSOR,09-01-01-12,Telecommunications Designer - Office Based
validSOR,09-01-01-01,Labourer
validSOR,09-01-01-02,Labourer overtime Ð out of hours rate
